U$50, 147.64, 63.92, 0.00, LED-0805, LED0805
U$51, 266.77, 45.09, 0.00, LED-0805, LED0805
U$52, 90.49, 63.92, 0.00, LED-0805, LED0805
U$53, 257.18, 82.97, 0.00, LED-0805, LED0805
U$54, 180.98, 82.97, 0.00, LED-0805, LED0805
U$55, 285.75, 44.87, 0.00, LED-0805, LED0805
U$56, 71.44, 63.92, 0.00, LED-0805, LED0805
U$57, 185.74, 63.92, 0.00, LED-0805, LED0805
U$58, 280.99, 82.97, 0.00, LED-0805, LED0805
U$59, 52.39, 63.92, 0.00, LED-0805, LED0805
U$60, 104.78, 82.97, 0.00, LED-0805, LED0805
U$61, 128.59, 63.92, 0.00, LED-0805, LED0805
U$62, 109.54, 63.92, 0.00, LED-0805, LED0805
U$63, 209.55, 102.02, 0.00, LED-0805, LED0805
U$64, 38.10, 102.02, 0.00, LED-0805, LED0805
U$65, 19.05, 102.02, 0.00, LED-0805, LED0805
U$66, 238.12, 82.97, 0.00, LED-0805, LED0805
U$67, 228.60, 102.02, 0.00, LED-0805, LED0805
U$68, 247.65, 102.02, 0.00, LED-0805, LED0805
U$69, 123.83, 82.97, 0.00, LED-0805, LED0805
U$70, 57.15, 102.02, 0.00, LED-0805, LED0805
U$71, 85.72, 82.97, 0.00, LED-0805, LED0805
U$72, 66.67, 82.97, 0.00, LED-0805, LED0805
U$73, 142.87, 82.97, 0.00, LED-0805, LED0805
U$74, 114.30, 102.02, 0.00, LED-0805, LED0805
U$75, 76.20, 102.02, 0.00, LED-0805, LED0805
U$76, 273.84, 63.92, 0.00, LED-0805, LED0805
U$77, 47.63, 82.97, 0.00, LED-0805, LED0805
U$78, 276.23, 102.02, 0.00, LED-0805, LED0805
U$79, 171.45, 102.02, 0.00, LED-0805, LED0805
U$80, 95.25, 102.02, 0.00, LED-0805, LED0805
U$81, 28.43, 45.02, 0.00, LED-0805, LED0805
U$82, 204.79, 63.92, 0.00, LED-0805, LED0805
U$83, 190.50, 102.02, 0.00, LED-0805, LED0805
U$84, 152.40, 102.02, 0.00, LED-0805, LED0805
U$85, 133.35, 102.02, 0.00, LED-0805, LED0805
U$86, 56.93, 45.17, 0.00, LED-0805, LED0805
U$87, 223.84, 63.92, 0.00, LED-0805, LED0805
U$88, 23.81, 83.05, 0.00, LED-0805, LED0805
U$89, 219.07, 82.97, 0.00, LED-0805, LED0805
U$90, 200.02, 82.97, 0.00, LED-0805, LED0805
U$91, 75.98, 45.17, 0.00, LED-0805, LED0805
U$92, 242.89, 63.92, 0.00, LED-0805, LED0805
UP-LSMD, 268.04, 45.21, 180.00, , SMD-LED-UNIVERSAL-2-PLACEMENTS
W, 66.67, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
Y, 142.88, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
[, 238.13, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
], 257.18, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
|, 280.99, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
~, 19.05, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
