BLE, 109.24, 21.50, 180.00, MDBT40-NO-EXTRAMDBT40-NO-EXTRA, MDBT40-NO-EXTRA
R45, 199.58, 44.05, 90.00, 300, R0603
R46, 216.40, 25.00, 90.00, 300, R0603
R47, 218.93, 43.90, 90.00, 300, R0603
R48, 209.10, 63.10, 90.00, 300, R0603
R49, 204.04, 82.30, 90.00, 300, R0603
R5, 33.93, 72.93, 180.00, 22, R0402
R50, 194.22, 101.05, 90.00, 300, R0603
R51, 213.27, 101.20, 90.00, 300, R0603
R52, 223.09, 82.15, 90.00, 300, R0603
R53, 228.15, 63.10, 90.00, 300, R0603
R54, 236.93, 44.05, 90.00, 300, R0603
R55, 239.76, 25.00, 90.00, 300, R0603
R56, 263.13, 24.26, 90.00, 300, R0603
R57, 252.11, 44.05, 90.00, 300, R0603
R58, 247.20, 63.10, 90.00, 300, R0603
R59, 242.14, 82.15, 90.00, 300, R0603
R6, 33.93, 71.88, 180.00, 22, R0402
R60, 232.32, 101.20, 90.00, 300, R0603
R61, 251.37, 101.05, 90.00, 300, R0603
R62, 261.19, 82.00, 90.00, 300, R0603
R63, 278.31, 63.10, 90.00, 300, R0603
R64, 273.69, 43.90, 90.00, 300, R0603
R65, 270.72, 25.00, 90.00, 300, R0603
R66, 290.21, 25.15, 90.00, 300, R0603
R67, 289.77, 43.46, 90.00, 300, R0603
R68, 284.86, 82.15, 90.00, 300, R0603
R69, 280.09, 101.05, 90.00, 300, R0603
R7, 19.05, 98.52, 0.00, 300, R0603
R70, 35.27, 44.05, 90.00, 300, R0603
R71, 86.02, 84.68, 180.00, 300, R0603
R72, 41.52, 56.85, 270.00, 7.2K, R0402
R73, 92.42, 69.95, 0.00, 300, R0603
R74, 99.71, 71.29, 270.00, 1K, R0402
R75, 41.52, 54.77, 270.00, 10K, R0402
R77, 86.02, 85.87, 180.00, 10K, R0402
R78, 40.93, 82.38, 90.00, 270K, R0402
R79, 122.34, 19.20, 270.00, 10K, R0402
R8, 25.97, 79.03, 180.00, 300, R0603
R80, 116.83, 19.20, 90.00, 10K, R0402
R81, 290.07, 99.27, 270.00, 300, R0603
R82, 92.42, 68.61, 0.00, 300, R0603
R83, 92.42, 67.27, 0.00, 300, R0603
R85, 45.84, 91.75, 90.00, 300, R0603
R86, 40.93, 80.29, 90.00, 100K, R0402
R87, 33.34, 80.81, 180.00, 10K, R0402
R88, 28.43, 86.17, 270.00, 1K, R0402
R89, 28.43, 84.09, 270.00, 1K, R0402
R9, 24.11, 59.98, 180.00, 300, R0603
R90, 28.43, 82.00, 90.00, 100K, R0402
RST, 47.77, 34.08, 90.00, , SJ
U$1, 119.81, 18.60, 90.00, BSS138, SOT-23
U$10, 161.90, 95.23, 90.00, SK6805, SK6805
